 50 , 1985 ,  9.0, 62.3
 51 , 1986 , 18.0,120.4
 52 , 1987 , 21.0, 90.1
 53 , 1988 , 31.0,165.7
 54 , 1989 , 28.0,169.3
 55 , 1990 , 17.0,108.0
 56 , 1991 , 10.0, 65.1
 57 , 1992 ,  9.0, 57.2
 58 , 1993 , 18.0,119.4
 59 , 1994 ,  4.0, 28.4
 60 , 1995 , 29.0,158.6
 61 , 1996 , 65.0,376.9
 62 , 1997 , 92.0,611.4
 63 , 1998 , 83.0,486.9
 64 , 1999 , 30.0,182.0
 65 , 2001 ,  1.0,  2.8
 1 , 1915 ,  8.0, 42.0
 2 , 1917 ,  1.0,  5.0
 3 , 1921 ,  4.0,  9.2
 4 , 1924 ,  8.0, 52.4
 5 , 1926 ,  4.0, 27.6
 6 , 1928 ,  6.0, 37.5
 7 , 1930 ,  5.0, 32.4
 8 , 1931 ,  4.0, 19.2
 9 , 1932 , 14.0, 90.0
 10 , 1933 ,  4.0, 18.8
 11 , 1934 ,  5.0, 21.5
 12 , 1935 , 10.0, 64.4
 13 , 1936 ,  8.0, 40.0
 14 , 1937 , 17.0,105.4
 15 , 1940 ,  4.0, 24.8
 16 , 1941 ,  4.0, 25.6
 17 , 1942 ,  4.0, 28.8
 18 , 1946 ,  1.0,  7.4
 19 , 1948 ,  4.0, 26.4
 20 , 1949 ,  4.0, 27.2
 21 , 1951 ,  1.0,  6.8
 22 , 1953 ,  4.0, 17.2
 23 , 1954 ,  1.0,  7.7
 24 , 1955 ,  1.0,  7.9
 25 , 1956 ,  8.0, 54.0
 26 , 1957 ,  1.0,  7.2
 27 , 1958 ,  4.0, 30.8
 28 , 1959 ,  4.0, 28.0
 29 , 1960 ,  1.0,  8.1
 30 , 1962 , 16.0,105.6
 31 , 1963 , 12.0, 80.4
 32 , 1964 ,  9.0, 52.2
 33 , 1965 ,  8.0, 51.6
 34 , 1966 , 13.0, 95.1
 35 , 1967 ,  9.0, 41.3
 36 , 1968 ,  4.0, 28.0
 37 , 1969 , 11.0, 64.1
 38 , 1970 , 13.0, 87.3
 39 , 1971 ,  6.0, 32.9
 40 , 1972 ,  4.0, 16.4
 41 , 1973 ,  2.0, 10.6
 42 , 1974 ,  9.0, 57.6
 43 , 1975 ,  5.0, 13.2
 44 , 1976 ,  7.0, 41.8
 45 , 1977 , 18.0,106.2
 46 , 1978 , 15.0, 93.2
 47 , 1979 , 14.0, 82.5
 48 , 1980 ,  5.0, 33.9
 49 , 1981 , 11.0, 73.4
 50 , 1982 , 28.0,174.4
 51 , 1983 ,  6.0, 40.7
 52 , 1984 , 13.0, 92.1
 53 , 1985 ,  5.0, 30.8
 54 , 1986 ,  1.0,  6.3
 55 , 1988 ,  4.0, 29.6
 56 , 1989 , 17.0, 93.4
 57 , 1990 , 10.0, 55.3
 58 , 1991 ,  4.0, 20.0
 59 , 1992 , 12.0, 81.2
 60 , 1993 ,  1.0,  4.4
 61 , 1994 ,  4.0, 31.2
 62 , 1995 , 14.0, 82.8
 63 , 1996 , 10.0, 66.7
 64 , 1997 , 49.0,281.4
 65 , 1998 , 54.0,300.5
 66 , 1999 , 16.0, 99.2
 67 , 2000 ,  1.0,  7.9
 68 , 2007 ,  1.0,  5.5
 1 , 1911 ,  4.0, 21.6
 2 , 1920 ,  8.0, 42.0
 3 , 1922 ,  4.0, 20.8
 4 , 1923 ,  4.0,  4.0
 5 , 1925 ,  1.0,  4.9
 6 , 1929 ,  8.0, 49.2
 7 , 1931 ,  4.0, 24.8
 8 , 1932 ,  4.0, 34.8
 9 , 1933 ,  4.0, 29.2
 10 , 1934 ,  1.0,  5.2
 11 , 1938 ,  4.0, 25.6
 12 , 1939 ,  4.0, 26.4
 13 , 1940 ,  4.0, 30.8
 14 , 1943 , 12.0, 76.8
 15 , 1946 ,  1.0,  5.7
 16 , 1948 ,  1.0,  6.5
 17 , 1949 ,  4.0, 26.4
 18 , 1951 , 12.0, 84.4
 19 , 1952 ,  8.0, 55.6
 20 , 1953 ,  8.0, 51.2
 21 , 1954 ,  4.0, 24.0
 22 , 1956 ,  1.0,  6.6
 23 , 1957 , 11.0, 72.7
 24 , 1958 ,  1.0,  6.1
 25 , 1959 ,  1.0,  7.2
 26 , 1960 ,  4.0, 29.2
 27 , 1961 ,  1.0,  7.0
 28 , 1963 ,  8.0, 52.8
 29 , 1964 ,  1.0,  7.5
 30 , 1965 ,  4.0, 29.6
 31 , 1966 ,  8.0, 52.0
 32 , 1967 ,  9.0, 53.6
 33 , 1968 ,  1.0,  5.8
 34 , 1969 , 16.0,100.0
 35 , 1970 , 14.0, 58.7
 36 , 1971 ,  4.0, 31.6
 37 , 1972 ,  9.0, 49.4
 38 , 1973 , 12.0, 76.8
 39 , 1974 ,  5.0, 38.9
 40 , 1975 , 10.0, 49.3
 41 , 1976 ,  6.0, 41.3
 42 , 1978 ,  4.0, 24.0
 43 , 1979 ,  8.0, 44.8
 44 , 1980 , 15.0,104.7
 45 , 1981 ,  8.0, 48.8
 46 , 1982 ,  4.0, 17.6
 47 , 1983 , 21.0,124.9
 48 , 1984 ,  5.0, 22.1
 49 , 1985 , 20.0,131.6
 50 , 1986 ,  6.0, 43.1
 51 , 1987 , 13.0, 79.8
 52 , 1988 , 22.0,130.8
 53 , 1989 ,  4.0, 26.4
 54 , 1990 ,  9.0, 48.6
 55 , 1991 , 17.0, 92.3
 56 , 1992 ,  1.0,  8.6
 57 , 1993 ,  5.0, 33.0
 58 , 1994 ,  1.0,  8.1
 59 , 1995 , 13.0, 80.2
 60 , 1996 , 17.0,106.1
 61 , 1997 , 53.0,355.8
 62 , 1998 , 46.0,281.3
 63 , 1999 , 23.0,138.7
 64 , 2000 ,  1.0,  6.5
 65 , 2003 ,  1.0,  9.0
 1 , 1905 ,  4.0, 20.0
 2 , 1910 ,  4.0, 24.0
 3 , 1916 ,  8.0, 45.6
 4 , 1918 ,  8.0, 50.0
 5 , 1920 ,  1.0,  6.5
 6 , 1923 ,  1.0,  6.9
 7 , 1924 ,  1.0,  6.6
 8 , 1925 ,  5.0, 34.9
 9 , 1926 ,  4.0, 25.6
 10 , 1927 ,  1.0,  7.3
 11 , 1931 ,  2.0, 12.6
 12 , 1932 ,  5.0, 26.1
 13 , 1933 , 10.0, 43.5
 14 , 1934 ,  6.0, 26.7
 15 , 1935 ,  4.0, 27.6
 16 , 1936 ,  1.0,  5.0
 17 , 1937 ,  5.0, 33.0
 18 , 1938 ,  2.0, 11.9
 19 , 1940 ,  1.0,  6.5
 20 , 1941 ,  4.0, 20.4
 21 , 1942 ,  1.0,  7.4
 22 , 1944 ,  5.0, 33.7
 23 , 1945 ,  4.0, 28.4
 24 , 1947 ,  1.0,  6.7
 25 , 1948 ,  5.0, 32.2
 26 , 1949 ,  4.0, 24.8
 27 , 1950 , 16.0,102.4
 28 , 1951 ,  4.0, 29.2
 29 , 1952 ,  9.0, 54.9
 30 , 1953 ,  5.0, 36.0
 31 , 1954 ,  8.0, 42.0
